,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
3166,Devils River,400.0,400.0,400.0,,,,,475.0,,,,combine,
3167,Devon Meadows,383.3333333333333,470.0,554.4444444444445,612.2727272727273,486.0,646.6666666666666,600.5,733.0,-517.2012804679543,-620.1075748534788,-722.2055227597696,combine,low
3168,Diamond Creek,495.5194805194805,505.0,497.43589743589746,530.1585365853658,558.2166666666667,570.7534246575342,608.8372093023256,596.6666666666666,587.4567374792209,594.4537544224702,601.6175482113642,combine,high
3169,Diggers Rest,364.01785714285717,395.0,406.53719008264466,416.4710743801653,434.73880597014926,438.2167832167832,489.06626506024094,526.2608695652174,507.06774914866185,508.9283766396235,514.1933136610766,combine,high
3170,Dimboola,190.83333333333334,195.4,202.35294117647058,206.42857142857142,236.57142857142858,236.42857142857142,284.2857142857143,246.42857142857142,247.8775228109318,248.1427201947883,248.16454368497332,combine,low
3171,Dingley Village,485.36538461538464,491.6,509.2105263157895,491.9298245614035,555.4,566.2727272727273,591.5116279069767,643.0,566.9552857688498,583.7546294005497,601.1599569211437,combine,high
3172,Docklands,540.5555555555555,539.1034482758621,579.375,533.75,481.7142857142857,546.304347826087,582.7272727272727,467.22222222222223,613.6981782170941,614.6251768692503,615.5179146449009,combine,low
3173,Donald,200.3846153846154,190.83333333333334,230.0,210.0,250.3846153846154,256.25,292.5,305.0,234.08569214600337,229.6188939155784,223.905759853124,combine,low
3174,Doncaster,533.0531400966183,563.683266932271,573.4446952595937,563.7227138643068,557.0219435736677,594.66796875,657.0958083832336,677.2777777777778,527.2002730246395,526.6617842084606,536.1105194532947,combine,high
3175,Doncaster East,547.4719626168225,554.0420841683367,558.4895591647331,589.8029850746269,579.404958677686,611.6077170418007,698.717277486911,731.71875,700.1366696556448,715.4517728872285,725.5690923858871,combine,high
3176,Donvale,508.79464285714283,509.7391304347826,510.94827586206895,564.1938775510204,524.8271604938271,576.4,656.015625,542.75,208.34900993942284,194.00326905793628,181.225296493866,combine,high
3177,Dookie,257.5,202.5,251.66666666666666,240.0,220.0,250.0,545.0,445.0,227.01149294059687,179.85089578662846,127.47431602839931,combine,low
3178,Doreen,385.94594594594594,403.03610108303246,414.3766233766234,416.83529411764704,461.1981566820277,472.6666666666667,512.8113879003558,531.2658227848101,536.6491862165975,548.2207595780422,558.51364010034,combine,high
3179,Douglas (Vic.),450.0,,,,,,,,,,,combine,
3180,Driffield,210.0,,,,620.0,,,,620.0,620.0,620.0,combine,low
3181,Dromana,406.5853658536585,422.02272727272725,439.31159420289856,453.26143790849676,537.9104477611941,553.4027777777778,602.75,585.859375,-549.0064702887377,-859.1346472165734,-1156.349609198982,combine,high
3182,Drouin,340.1654411764706,359.67241379310343,369.82191780821915,377.9840425531915,402.53584905660375,452.46,515.1922005571031,470.625,523.5794838412883,545.342247131365,567.1592466966553,combine,high
3183,Drouin South,380.0,370.0,480.0,480.0,,,,,,,,combine,
3184,Drumcondra,350.0,570.0,482.0,470.0,556.4285714285714,600.0,,,203.8263603092221,104.65955284369676,2.6966069387220277,combine,low
3185,Drung,220.0,213.33333333333334,,,,,,,,,,combine,
3186,Dry Diggings,320.0,320.0,,320.0,500.0,,,,500.0,500.0,500.0,combine,low
3187,Drysdale,389.0243902439024,378.82978723404256,413.9583333333333,396.19565217391306,438.48837209302326,451.219512195122,502.27272727272725,500.2,233.6799525744462,-34.148628472176085,-353.87820607427346,combine,low
3188,Dumbalk,237.0,230.0,,,,,,350.0,,,,combine,
3189,Dumbalk North,260.0,,,,,,,,,,,combine,
3190,Dunnstown,200.0,200.0,,200.0,,,,,,,,combine,
