,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
2852,Hoppers Crossing,335.3340122199593,342.8608695652174,342.6376811594203,339.40625,338.7894736842105,350.71920289855075,396.1631419939577,442.97752808988764,433.831628247046,451.0642113929189,467.531686366774,combine,high
2853,Horsham,253.80504587155963,239.96031746031747,261.45569620253167,266.6523178807947,300.91902834008096,323.40705128205127,351.69453376205786,348.0150753768844,199.86027001397883,142.72784603997275,76.5187772400484,combine,high
2854,Hughesdale,434.14956011730203,442.976401179941,441.9028213166144,468.15743440233234,435.89150943396226,464.65732087227417,530.3640552995391,573.96,485.81316657619936,496.8426989410991,509.09460642270017,combine,high
2855,Huntingdale (Vic.),428.4375,480.29411764705884,439.11764705882354,380.0,370.8333333333333,331.6666666666667,532.5,,459.232343698562,473.7508649668916,487.8763438252135,combine,low
2856,Huntly,334.2857142857143,297.85714285714283,295.0,357.0,410.0,437.72727272727275,466.95652173913044,492.3076923076923,350.565896784875,320.78817621184646,288.26624942734816,combine,low
2857,Hurstbridge,422.0833333333333,408.3333333333333,417.85714285714283,395.0,455.0,465.5882352941176,497.8125,830.0,453.54513060514125,453.18030851921696,453.16323654119606,combine,low
2858,Indented Head,371.5217391304348,418.2142857142857,296.6666666666667,356.6666666666667,333.3333333333333,460.0,430.0,290.0,384.8856600863319,349.1672108043622,311.58562427538936,combine,low
2859,Invergordon (Vic.),235.0,,,340.0,,,,350.0,,,,combine,
2860,Inverleigh,400.0,487.5,383.3333333333333,320.0,725.0,553.0,450.0,450.0,425.0108980532909,333.6392006488253,228.17062135933827,combine,low
2861,Invermay Park,350.0,319.09090909090907,361.42857142857144,377.5,383.5,431.6666666666667,432.5,494.0,429.3577049647612,434.30545205166914,439.7858559270985,combine,low
2862,Ironbark (Vic.),254.0,290.8333333333333,309.7368421052632,310.38461538461536,365.0,322.6666666666667,368.6363636363636,402.0,434.9413095293163,461.1906744353979,489.1890727142271,combine,low
2863,Irymple (Vic.),225.74074074074073,266.9230769230769,305.35714285714283,326.34615384615387,302.3076923076923,353.0882352941176,372.0689655172414,448.65384615384613,346.2451130442832,341.9803121432139,338.2120163476838,combine,low
2864,Ivanhoe (Vic.),428.50992063492066,445.7165991902834,454.03655913978497,462.04911591355597,435.68865979381445,459.484375,518.0761523046092,572.8571428571429,517.5229176726535,536.4742190003273,554.5813541434874,combine,high
2865,Ivanhoe East,422.2959183673469,455.55555555555554,481.69354838709677,480.15384615384613,439.93243243243245,461.7307692307692,645.2054794520548,633.2352941176471,431.80628821405696,424.7098760360974,417.76221199413897,combine,high
2866,Jacana,338.6666666666667,343.46153846153845,339.75,366.7,356.5238095238095,351.02941176470586,391.42857142857144,491.1111111111111,331.347266759102,315.52069951984487,301.78777358604674,combine,low
2867,Jackass Flat,314.1666666666667,310.0,300.0,380.0,480.0,460.0,471.875,520.0,313.6782768364904,238.05507126695585,154.9969030965761,combine,low
2868,Jan Juc,421.5609756097561,498.6857142857143,505.0,426.51612903225805,515.7857142857143,576.3829787234042,629.7727272727273,660.4761904761905,678.7671358033838,733.5560195285759,789.0644226755619,combine,low
2869,Jancourt East,225.0,,,,,,,,,,,combine,
2870,Jeparit,180.0,170.0,,,,,,,,,,combine,
